"V1","V2","V3","V4"
"","","","Confirmed"
"WHO Regional Office","Country/Territory/Area","",""
"","","","Cases"
"","China","Total","309*"
"","","Hubei Province","270"
"","","Guangdong Province","17"
"","","Beijing Municipality","5"
"","","Shanghai Municipality","2"
"","","Chongqing Municipality","1"
"","","Zhejiang Province","5"
"","","Jiangxi Province","2"
"WHO WPRO Region","","Sichuan Province","1"
"","","Tianjin Municipality","2"
"","","Henan Province","1"
"","","Hunan Province","1"
"","","Shandong Province","1"
"","","Yunnan Province","1"
"","","Taiwan, China","1"
"","Japan","","1"
"","Republic of Korea","","1"
"WHO SEARO Region","Thailand","","2"
"Total Confirmed cases","Total","","314"
