"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Province/","","","","Daily","","","","Cumulative",""
"","Population","","","","","","","",""
"Region/","","","","","","","","",""
"","(10,000s)","Laboratory","Clinically","Total","Suspected","Deaths","Laboratory","Clinically Total","Deaths"
"City","","confirmed","diagnosed","cases","cases","","confirmed","diagnosed cases",""
"Hubei","5917","955","888","1843","1036","139","38839","17410 56249","1596"
"Guangdong","11346","22","-","22","2","0","1316","- 1316","2"
"Henan","9605","19","-","19","137","0","1231","- 1231","13"
"Zhejiang","5737","5","-","5","23","0","1167","- 1167","0"
"Hunan","6899","3","-","3","36","1","1004","- 1004","3"
"Anhui","6324","12","-","12","6","0","962","- 962","6"
"Jiangxi","4648","13","-","13","7","0","925","- 925","1"
"Jiangsu","8051","13","-","13","9","0","617","- 617","0"
"Chongqing","3102","7","-","7","75","0","544","- 544","5"
"Shandong","10047","7","-","7","22","0","537","- 537","2"
"Sichuan","8341","11","-","11","46","2","481","- 481","3"
"Heilongjiang","3773","20","-","20","44","0","445","- 445","11"
"Beijing","2154","5","-","5","35","0","380","- 380","4"
"Shanghai","2424","2","-","2","75","0","328","- 328","1"
"Hebei","7556","9","-","9","2","0","300","- 300","3"
"Fujian","3941","2","-","2","2","0","287","- 287","0"
"Guangxi","4926","2","-","2","49","0","237","- 237","2"
"Shaanxi","3864","4","-","4","15","0","236","- 236","0"
"Yunnan","4830","1","-","1","37","0","169","- 169","0"
"Hainan","934","0","-","0","30","0","162","- 162","4"
"Guizhou","3600","1","-","1","8","0","144","- 144","1"
"Shanxi","3718","1","-","1","15","0","128","- 128","0"
"Tianjin","1560","2","-","2","109","0","122","- 122","3"
"Liaoning","4359","1","-","1","69","0","120","- 120","1"
"Gansu","2637","0","-","0","1","0","90","- 90","2"
"Jilin","2704","1","-","1","16","0","89","- 89","1"
"Xinjiang","2487","1","-","1","3","0","71","- 71","1"
"Ningxia","688","0","-","0","5","0","70","- 70","0"
"Inner Mongolia","2534","2","-","2","4","0","70","- 70","0"
"Hong Kong Sar","745","0","-","0","0","0","56","- 56","1"
"Taipei and environs","2359","0","-","0","0","0","18","- 18","0"
"Qinghai","603","0","-","0","0","0","18","- 18","0"
"Macao Sar","66","0","-","0","0","0","10","- 10","0"
"Xizang","344","0","-","0","0","0","1","- 1","0"
"Totals","142823","1121","888","2009","1918","142","51174","17410 68584","1666"
