"V1","V2","V3","V4","V5"
"","Total confirmed*","Total deaths","Transmission","Days since last"
"Country","","","",""
"","cases (new)","(new)","classification†","reported case"
"Western Pacific Region","","","",""
"Republic of Korea","3736 (586)","18 (1)","Local transmission","0"
"Japan","239 (9)","5 (0)","Local transmission","0"
"Singapore","102 (4)","0 (0)","Local transmission","0"
"Australia","25 (1)","0 (0)","Local transmission","0"
"Malaysia","24 (0)","0 (0)","Local transmission","2"
"Viet Nam","16 (0)","0 (0)","Local transmission","17"
"Philippines","3 (0)","1 (0)","Imported cases only","26"
"Cambodia","1 (0)","0 (0)","Imported cases only","34"
"New Zealand","1 (0)","0 (0)","Imported cases only","2"
"European Region","","","",""
"Italy","1128 (240)","29 (8)","Local transmission","0"
"France","100 (43)","2 (0)","Local transmission","0"
"Germany","57 (0)","0 (0)","Local transmission","1"
"Spain","45 (13)","0 (0)","Local transmission","0"
"The United Kingdom","23 (3)","0 (0)","Local transmission","0"
"Switzerland","18 (8)","0 (0)","Imported cases only","0"
"Norway","15 (9)","0 (0)","Local transmission","0"
"Sweden","13 (1)","0 (0)","Imported cases only","0"
"Austria","10 (5)","0 (0)","Imported cases only","0"
"Croatia","7 (2)","0 (0)","Local transmission","0"
"Israel","7 (2)","0 (0)","Imported cases only","0"
"Netherlands","7 (5)","0 (0)","Local transmission","0"
"Azerbaijan","3 (3)","0 (0)","Imported cases only","0"
"Denmark","3 (1)","0 (0)","Imported cases only","0"
"Georgia","3 (1)","0 (0)","Imported cases only","0"
"Greece","3 (0)","0 (0)","Imported cases only","2"
"Romania","3 (0)","0 (0)","Imported cases only","1"
"Finland","2 (0)","0 (0)","Imported cases only","4"
"Russian Federation","2 (0)","0 (0)","Imported cases only","30"
"Belarus","1 (0)","0 (0)","Imported cases only","2"
"Belgium","1 (0)","0 (0)","Imported cases only","26"
"Estonia","1 (0)","0 (0)","Imported cases only","3"
"Ireland","1 (1)","0 (0)","Imported cases only","0"
"Lithuania","1 (0)","0 (0)","Imported cases only","2"
"Monaco","1 (1)","0 (0)","Under investigation","0"
"North Macedonia","1 (0)","0 (0)","Imported cases only","4"
"San Marino","1 (0)","0 (0)","Local transmission","1"
"South-East Asia Region","","","",""
"Thailand","42 (0)","0 (0)","Local transmission","1"
"India","3 (0)","0 (0)","Imported cases only","27"
"Nepal","1 (0)","0 (0)","Imported cases only","48"
"Sri Lanka","1 (0)","0 (0)","Imported cases only","34"
"Eastern Mediterranean Region","","","",""
"Iran (Islamic Republic of)","593 (205)","43 (9)","Local transmission","0"
"Kuwait","45 (0)","0 (0)","Imported cases only","1"
"Bahrain","40 (2)","0 (0)","Imported cases only","0"
"United Arab Emirates","19 (0)","0 (0)","Local transmission","1"
"Iraq","13 (5)","0 (0)","Imported cases only","0"
