"V1","V2"
"Cumulative Province/  In last 24 hours",""
"Population",""
"Region/",""
"(10,000s)",""
"Confirmed Suspected","Confirmed"
"City cases cases","Deaths cases Deaths"
"",""
"Hubei 5917 114 64","31 67217 2834"
"Guangdong 11346 0 0","0 1350 7"
"Henan 9605 0 0","0 1272 22"
"Zhejiang 5737 7 0","0 1213 1"
"Hunan 6899 0 0","0 1018 4"
"Anhui 6324 0 0","0 990 6"
"Jiangxi 4648 0 1","0 935 1"
"Shandong 10047 0 0","0 758 6"
"Jiangsu 8051 0 0","0 631 0"
"Chongqing 3102 0 2","0 576 6"
"Sichuan 8341 0 0","0 538 3"
"Heilongjiang 3773 0 0","0 480 13"
"Beijing 2154 0 14","0 414 8"
"Shanghai 2424 1 9","0 338 3"
"Hebei 7556 0 0","0 318 6"
"Fujian 3941 0 0","0 296 1"
"Guangxi 4926 0 0","0 252 2"
"Shaanxi 3864 0 0","0 245 1"
"Yunnan 4830 0 1","0 174 2"
"Hainan 934 0 0","0 168 5"
"Guizhou 3600 0 1","0 146 2"
"Tianjin 1560 0 17","0 136 3"
"Shanxi 3718 0 0","0 133 0"
"Liaoning 4359 3 18","0 125 1"
"Hong Kong SAR 745 3 0","0 101 2"
"Jilin 2704 0 2","0 93 1"
"Gansu 2637 0 0","0 91 2"
"Xinjiang 2487 0 0","0 76 3"
"Inner Mongolia 2534 0 0","0 75 0"
"Ningxia 688 0 0","0 74 0"
"Taipei and environs 2359 2 0","0 42 1"
"Qinghai 603 0 0","0 18 0"
"Macao SAR 66 0 0","0 10 0"
"Xizang 344 0 0","0 1 0"
"Total 142823 130 129","31 80304 2946"
