"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"North Macedonia","1","0","0","0","Imported cases only","7","",""
"Poland","1","0","0","0","Imported cases only","1","",""
"Slovenia","1","1","0","0","Imported cases only","0","",""
"Ukraine","1","0","0","0","Imported cases only","1","",""
"Liechtenstein","1","0","0","0","Imported cases only","1","",""
"","erritories**","","","","","","",""
"Gibraltar","1","0","0","0","Imported cases only","1","",""
"","outh-East Asia Region","","","","","","",""
"Thailand","47","4","1","0","Local transmission","0","",""
"India","29","23","0","0","Local transmission","0","",""
"Indonesia","2","0","0","0","Local transmission","3","",""
"Nepal","1","0","0","0","Imported cases only","41","",""
"Sri Lanka","1","0","0","0","Imported cases only","38","",""
"","astern Mediterranean Region","","","","","","",""
"Iran (IslamicRepublic of)","2922","586","92","15","Local transmission","0","",""
"Kuwait","58","2","0","0","Imported cases only","0","",""
"Bahrain","49","0","0","0","Imported cases only","2","",""
"Iraq","36","5","2","2","Imported cases only","0","",""
"United ArabEmirates","27","0","0","0","Local transmission","1","",""
"Oman","15","3","0","0","Imported cases only","0","",""
"Lebanon","13","0","0","0","Local transmission","2","",""
"Qatar","8","0","0","0","Imported cases only","1","",""
"Pakistan","5","0","0","0","Imported cases only","2","",""
"Egypt","2","0","0","0","Imported cases only","3","",""
"Morocco","2","1","0","0","Imported cases only","0","",""
"Saudi Arabia","2","1","0","0","Imported cases only","0","",""
"Afghanistan","1","0","0","0","Imported cases only","9","",""
"Jordan","1","0","0","0","Imported cases only","2","",""
"Tunisia","1","0","0","0","Imported cases only","2","",""
"","erritories**","","","","","","",""
"occupied Palestinianterritory","4","4","0","0","Imported cases only","0","",""
"","egion of the Americas","","","","","","",""
"the United States","129","21","9","3","Local transmission","0","",""
"Canada","30","0","0","0","Local transmission","1","",""
"Ecuador","7","0","0","0","Local transmission","1","",""
"Mexico","5","0","0","0","Imported cases only","3","",""
"Brazil","3","1","0","0","Imported cases only","0","",""
"Argentina","1","0","0","0","Imported cases only","1","",""
"Chile","1","0","0","0","Imported cases only","1","",""
"Dominican Republic","1","0","0","0","Imported cases only","3","",""
"","erritories**","","","","","","",""
"Saint Martin","2","0","0","0","Under investigation","2","",""
"Saint Barthélemy","1","0","0","0","Under investigation","2","",""
"","frican Region","","","","","","",""
"Algeria","12","7","0","0","Local transmission","0","",""
"Senegal","4","3","0","0","Imported cases only","0","",""
"Nigeria","1","0","0","0","Imported cases only","6","",""
"","ubtotal for all","","14062","2098","261","53","",""
"","14062","2098","261","53","","","",""
"egions","","","","","","","",""
"International","706","0","6","0","Local transmission","3","",""
