"V1","V2","V3"
"","Announcement posted on the WHO Event Information Site (EIS)","TOTAL"
"WHO Region","6 February 12 February 21 February 28 February 5 March",""
"African Region","- 1 - - -","1"
"Region of the","10 2 - - 1*","13"
"Americas","5* updates",""
"Eastern","- 1 - 1* 1*","3"
"Mediterranean","1* update",""
"Region","",""
"European Region","2 1 2 5 (3*) 2*","12"
"","1* update",""
"South-East Asia","1","1"
"Region","",""
"Western Pacific","9 3 2 1* -","15"
"Region","6* updates 8* updates",""
"TOTAL","22 8 4 7 4","45"
