"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Burkina Faso","302","0","15","0","Local transmission","1","",""
"Côte d’Ivoire","245","0","2","0","Local transmission","1","",""
"Mauritius","227","31","7","0","Local transmission","0","",""
"Senegal","222","3","2","0","Local transmission","0","",""
"Nigeria","208","0","4","0","Local transmission","1","",""
"Ghana","205","0","5","0","Local transmission","1","",""
"Democratic Republicof the Congo","161","13","18","2","Local transmission","0","",""
"Niger","144","0","8","0","Local transmission","1","",""
"Kenya","142","20","4","0","Local transmission","0","",""
"Guinea","111","0","0","0","Local transmission","1","",""
"Rwanda","102","0","0","0","Local transmission","1","",""
"Madagascar","77","7","0","0","Local transmission","0","",""
"Uganda","48","0","0","0","Local transmission","1","",""
"Congo","45","0","5","0","Local transmission","1","",""
"Togo","44","4","3","0","Local transmission","0","",""
"Ethiopia","43","5","1","1","Local transmission","0","",""
"Mali","39","0","4","0","Local transmission","1","",""
"Zambia","39","0","1","0","Local transmission","3","",""
"Eritrea","29","9","0","0","Local transmission","0","",""
"Benin","22","9","0","0","Local transmission","0","",""
"United Republic ofTanzania","22","2","1","0","Local transmission","0","",""
"Gabon","21","0","1","0","Imported cases only","2","",""
"Guinea-Bissau","18","0","0","0","Imported cases only","1","",""
"Equatorial Guinea","16","0","0","0","Local transmission","1","",""
"Namibia","16","2","0","0","Local transmission","0","",""
"Angola","14","4","2","0","Imported cases only","0","",""
"Liberia","13","3","3","2","Local transmission","0","",""
"Mozambique","10","0","0","0","Local transmission","4","",""
"Seychelles","10","0","0","0","Imported cases only","4","",""
"Central AfricanRepublic","9","0","0","0","Local transmission","1","",""
"Chad","9","2","0","0","Imported cases only","0","",""
"Eswatini","9","0","0","0","Imported cases only","9","",""
"Zimbabwe","9","0","1","0","Local transmission","2","",""
"Mauritania","6","0","1","0","Imported cases only","2","",""
"Sierra Leone","6","2","0","0","Imported cases only","0","",""
"Cabo Verde","5","0","1","0","Imported cases only","9","",""
"Botswana","4","0","1","0","Imported cases only","3","",""
"Gambia","4","0","1","0","Imported cases only","3","",""
"Malawi","4","1","0","0","Local transmission","0","",""
"Burundi","3","0","0","0","Local transmission","2","",""
"South Sudan","1","1","0","0","Under investigation","0","",""
"","Territories**","","","","","","",""
"Réunion","344","10","0","0","Local transmission","0","",""
"Mayotte","147","0","2","0","Local transmission","1","",""
"","Subtotal for all","","1 210244","77 200","67 583","4810","",""
"","1 210244","77 200","67 583","4810","","","",""
"regions","","","","","","","",""
"International","712","0","11","0","Local transmission","21","",""
