"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"Burkina Faso","345","43","17","2","Local transmission","0","","","","","","","","","","","","","",""
"Côte d’Ivoire","323","78","3","1","Local transmission","0","","","","","","","","","","","","","",""
"Mauritius","244","17","7","0","Local transmission","0","","","","","","","","","","","","","",""
"Nigeria","232","24","5","1","Local transmission","0","","","","","","","","","","","","","",""
"Senegal","226","4","2","0","Local transmission","0","","","","","","","","","","","","","",""
"Ghana","214","9","5","0","Local transmission","0","","","","","","","","","","","","","",""
"Niger","184","40","10","2","Local transmission","0","","","","","","","","","","","","","",""
"Democratic Republicof the Congo","161","0","18","0","Local transmission","1","","","","","","","","","","","","","",""
"Kenya","142","0","4","0","Local transmission","1","","","","","","","","","","","","","",""
"Guinea","111","0","0","0","Local transmission","2","","","","","","","","","","","","","",""
"Rwanda","104","2","0","0","Local transmission","0","","","","","","","","","","","","","",""
"Madagascar","77","0","0","0","Local transmission","1","","","","","","","","","","","","","",""
"Uganda","52","4","0","0","Local transmission","0","","","","","","","","","","","","","",""
"Congo","45","0","5","0","Local transmission","2","","","","","","","","","","","","","",""
"Togo","44","0","3","0","Local transmission","1","","","","","","","","","","","","","",""
"Ethiopia","43","0","1","0","Local transmission","1","","","","","","","","","","","","","",""
"Mali","39","0","4","0","Local transmission","2","","","","","","","","","","","","","",""
"Zambia","39","0","1","0","Local transmission","4","","","","","","","","","","","","","",""
"Guinea-Bissau","33","15","0","0","Imported cases only","0","","","","","","","","","","","","","",""
"Eritrea","29","0","0","0","Local transmission","1","","","","","","","","","","","","","",""
"United Republic ofTanzania","24","2","1","0","Local transmission","0","","","","","","","","","","","","","",""
"Benin","23","1","1","1","Local transmission","0","","","","","","","","","","","","","",""
"Gabon","21","0","1","0","Imported cases only","3","","","","","","","","","","","","","",""
"Angola","16","2","2","0","Imported cases only","0","","","","","","","","","","","","","",""
"Equatorial Guinea","16","0","0","0","Local transmission","2","","","","","","","","","","","","","",""
"Namibia","16","0","0","0","Local transmission","1","","","","","","","","","","","","","",""
"Liberia","14","1","3","0","Local transmission","0","","","","","","","","","","","","","",""
"Seychelles","11","1","0","0","Imported cases only","0","","","","","","","","","","","","","",""
"Mozambique","10","0","0","0","Local transmission","5","","","","","","","","","","","","","",""
"Central AfricanRepublic","9","0","0","0","Local transmission","2","","","","","","","","","","","","","",""
"Chad","9","0","0","0","Imported cases only","1","","","","","","","","","","","","","",""
"Eswatini","9","0","0","0","Imported cases only","10","","","","","","","","","","","","","",""
"Zimbabwe","9","0","1","0","Local transmission","3","","","","","","","","","","","","","",""
"Cabo Verde","7","2","1","0","Local transmission","0","","","","","","","","","","","","","",""
"Botswana","6","2","1","0","Imported cases only","0","","","","","","","","","","","","","",""
"Mauritania","6","0","1","0","Imported cases only","3","","","","","","","","","","","","","",""
"Sierra Leone","6","0","0","0","Imported cases only","1","","","","","","","","","","","","","",""
"Gambia","4","0","1","0","Imported cases only","4","","","","","","","","","","","","","",""
"Malawi","4","0","0","0","Local transmission","1","","","","","","","","","","","","","",""
"São Tomé andPríncipe","4","4","0","0","Under investigation","0","","","","","","","","","","","","","",""
"Burundi","3","0","0","0","Local transmission","3","","","","","","","","","","","","","",""
"South Sudan","1","0","0","0","Under investigation","1","","","","","","","","","","","","","",""
"","Territories**","","","","","","","","","","","","","","","","","","",""
"Réunion","349","5","0","0","Local transmission","0","","","","","","","","","","","","","",""
"Mayotte","164","17","2","0","Local transmission","0","","","","","","","","","","","","","",""
"","Subtotal for all","","","1 279010","","","68 766","","","72 603","","","5020","","","","","","",""
