"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","","Total","","New","","","","","","",""
"Reporting Country/ Territory/Area†","","confirmed  cases ‡","","confirmed cases","Total deaths","","New deaths","","Transmission classification§","","Days since last reported case"
"Western Pacific Region","","","","","","","","","","",""
"China","","84338","","14","4642","","0","","Clusters of cases","","0"
"Japan","","13182","","353","348","","14","","Clusters of cases","","0"
"Singapore","","12693","","618","12","","0","","Clusters of cases","","0"
"Republic of Korea","","10728","","10","242","","2","","Clusters of cases","","0"
"Philippines","","7294","","102","494","","17","","Clusters of cases","","0"
"Australia","","6703","","16","81","","2","","Clusters of cases","","0"
"Malaysia","","5742","","51","98","","2","","Clusters of cases","","0"
"New Zealand","","1121","","4","18","","0","","Clusters of cases","","0"
"Viet Nam","","270","","0","0","","0","","Clusters of cases","","1"
"Brunei Darussalam","","138","","0","1","","0","","Sporadic cases","","6"
"Cambodia","","122","","0","0","","0","","Sporadic cases","","14"
"Mongolia","","37","","1","0","","0","","Sporadic cases","","0"
"Lao People's","","","","","","","","","","",""
"Democratic Republic","","19","","0","0","","0","","Sporadic cases","","13"
"Fiji","","18","","0","0","","0","","Sporadic cases","","5"
"Papua New Guinea","","8","","0","0","","0","","Sporadic cases","","3"
"Territories**","","","","","","","","","","",""
"Guam","","137","","1","5","","0","","Clusters of cases","","0"
"French Polynesia","","57","","0","0","","0","","Sporadic cases","","4"
"New Caledonia","","18","","0","0","","0","","Sporadic cases","","23"
"Northern Mariana","","","","","","","","","","",""
"Islands","","","","","","","","","","",""
"(Commonwealth of","","","","","","","","","","",""
"the)","","14","","0","2","","0","","Pending","","8"
"European Region","","","","","","","","","","",""
"Spain","","219764","","0","22524","","0","","Pending","","1"
"","","","","","","","","","Community","",""
"Italy","","195351","","2357","26384","","415","","transmission","","0"
"","","","","","","","","","Community","",""
"Germany","","154175","","1737","5640","","140","","transmission","","0"
"","","","","","","","","","Community","",""
"The United Kingdom","","148381","","4913","20319","","813","","transmission","","0"
"","","","","","","","","","Community","",""
"France","","122875","","1537","22580","","368","","transmission","","0"
"","","","","","","","","","Community","",""
"Turkey","","107773","","2861","2706","","106","","transmission","","0"
"Russian Federation","","74588","","5966","681","","66","","Clusters of cases","","0"
"","","","","","","","","","Community","",""
"Belgium","","45325","","1032","6917","","238","","transmission","","0"
"","","","","","","","","","Community","",""
"Netherlands","","37190","","655","4409","","120","","transmission","","0"
