"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Territoriesii","","","","","",""
"Kosovo[1]","","","","","",""
"","855","4","27","0","Community transmission","0"
"Isle of Man","321","1","23","0","Pending","0"
"Jersey","292","1","24","0","Pending","0"
"Guernsey","252","0","13","0","Community transmission","2"
"Faroe Islands","187","0","0","0","Pending","11"
"Gibraltar","144","0","0","0","Clusters of cases","3"
"Greenland","11","0","0","0","Pending","29"
"South-East Asia","","","","","",""
"India","46433","3900","1568","195","Clusters of cases","0"
"Indonesia","11587","395","864","19","Community transmission","0"
"Bangladesh","10143","688","182","5","Clusters of cases","0"
"Thailand","2988","1","54","0","Clusters of cases","0"
"Sri Lanka","718","0","7","0","Clusters of cases","1"
"Maldives","545","18","1","0","Clusters of cases","0"
"Myanmar","161","6","6","0","Clusters of cases","0"
"Nepal","82","7","0","0","Sporadic cases","0"
"Timor-Leste","24","0","0","0","Clusters of cases","11"
"Bhutan","7","0","0","0","Sporadic cases","12"
"Western Pacific","","","","","",""
"China","84404","4","4643","0","Clusters of cases","0"
"Singapore","18778","573","18","0","Clusters of cases","0"
"Japan","15231","174","521","11","Clusters of cases","0"
