"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Seychelles","11","0","0","","0","Sporadic cases","33"
"Mauritania","8","0","1","","0","Sporadic cases","9"
"Territoriesii","","","","","","",""
"Mayotte","890","0","11","","0","Clusters of cases","1"
"Réunion","430","0","0","","0","Clusters of cases","1"
"Americas","","","","","","",""
"United States of America","1 245 775","-99","75 364","","5475","Community transmission","0"
"Brazil","145 328","10 222","9897","","751","Community transmission","0"
"Canada","66 780","1381","4628","","157","Community transmission","0"
"Peru","61 847","3321","1714","","87","Community transmission","0"
"Mexico","31 522","1906","3160","","199","Community transmission","0"
"Ecuador","28 818","-1480","1704","","50","Community transmission","0"
"Chile","27 219","1247","304","","10","Community transmission","0"
"Colombia","10 051","595","428","","21","Community transmission","0"
"Dominican Republic","9882","506","385","","5","Community transmission","0"
"Panama","8070","202","231","","6","Community transmission","0"
"Argentina","5680","150","297","","8","Community transmission","0"
"Bolivia (Plurinational State of)","2266","185","106","","4","Clusters of cases","0"
"Honduras","1771","86","107","","2","Community transmission","0"
"Cuba","1754","13","74","","0","Clusters of cases","0"
"Guatemala","900","68","24","","1","Clusters of cases","0"
"El Salvador","784","42","16","","1","Clusters of cases","0"
"Costa Rica","773","8","6","","0","Clusters of cases","0"
"Uruguay","694","10","17","","0","Clusters of cases","0"
