"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Australia","7 320","18","102","0","Clusters of cases","0"
"New Zealand","1 154","0","22","0","Clusters of cases","24"
"Viet Nam","334","0","0","0","Clusters of cases","1"
"Mongolia","197","0","0","0","Sporadic cases","2"
"Brunei Darussalam","141","0","2","0","Clusters of cases","38"
"Cambodia","128","2","0","0","Sporadic cases","0"
"Lao People's Democratic Republic","19","0","0","0","Sporadic cases","63"
"Fiji","18","0","0","0","Sporadic cases","55"
"Papua New Guinea","8","0","0","0","Sporadic cases","53"
"Territoriesii","","","","","",""
"Guam","177","0","5","0","Clusters of cases","1"
"French Polynesia","60","0","0","0","Sporadic cases","40"
"Northern Mariana Islands","","","","","",""
"(Commonwealth of the)","30","0","2","0","Pending","5"
"New Caledonia","21","0","0","0","Sporadic cases","5"
"Subtotal for all regions","7 822 548","132 581","431 528","3 911","",""
"Other*","741","0","13","0","Not applicable","-"
"Grand total","7 823 289","132 581","431 541","3 911","",""
